id,parent_id,subject,description,status,assign_to,report_to,date_created,date_assigned,due_date,rel_contact,rel_donation,rel_ticket_order,rel_account
10,328,urna suscipit nonummy. Fusce fermentum,"mauris ipsum porta elit, a",in_progress,2,1,11/2/21 19:48,1/2/22 0:01,2/11/22 11:00,6684,495,215,263
11,337,,"rutrum eu, ultrices sit amet, risus. Donec nibh enim, gravida sit amet, dapibus id, blandit at, nisi. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",in_progress,2,2,12/25/21 6:43,1/22/22 14:52,1/24/22 2:51,6134,362,3,462
12,222,"vitae semper egestas,",feugiat tellus lorem eu metus.,not_started,2,2,11/26/21 22:02,10/12/21 4:42,11/2/21 14:36,2746,191,238,44
13,384,tristique senectus et netus et malesuada,"eu dolor egestas rhoncus. Proin nisl sem, consequat",not_started,1,2,12/4/21 17:58,12/5/21 12:13,1/22/22 1:24,4607,242,194,184
14,67,"sed dolor. Fusce mi lorem, vehicula et, rutrum","urna suscipit nonummy. Fusce fermentum fermentum arcu. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae Phasellus ornare. Fusce mollis. Duis sit amet diam eu dolor egestas rhoncus. Proin nisl sem,",in_progress,1,0,9/18/21 10:56,12/20/21 18:53,12/18/21 19:13,663,156,477,33
15,141,"dolor, tempus non, lacinia at, iaculis quis,",semper. Nam tempor diam dictum sapien. Aenean massa.,in_progress,2,1,2/18/22 17:13,1/8/22 16:20,2/20/22 16:44,7862,81,4,90
16,57,lacus. Aliquam rutrum lorem ac risus. Morbi metus. Vivamus,"ante lectus convallis est, vitae sodales nisi magna sed dui. Fusce aliquam, enim nec tempus scelerisque, lorem ipsum sodales purus, in molestie tortor nibh sit amet orci. Ut sagittis lobortis mauris. Suspendisse aliquet molestie tellus. Aenean egestas hendrerit neque. In ornare sagittis felis.",not_started,1,1,1/26/22 13:27,1/13/22 21:52,1/13/22 12:27,1051,386,221,20
17,376,,"convallis erat, eget tincidunt dui augue eu tellus. Phasellus elit pede, malesuada vel, venenatis vel, faucibus id, libero. Donec consectetuer mauris id sapien. Cras dolor dolor, tempus non, lacinia at, iaculis quis, pede.",in_progress,3,1,9/12/21 2:01,12/22/21 16:01,12/6/21 8:01,2480,200,351,297
18,209,Curabitur,"semper egestas, urna justo faucibus lectus, a sollicitudin orci sem eget massa. Suspendisse eleifend. Cras sed leo. Cras vehicula aliquet libero. Integer in magna. Phasellus dolor elit, pellentesque a, facilisis non,",completed,2,1,2/20/22 3:38,1/26/22 14:31,3/20/22 12:52,6625,312,222,290
19,204,vitae mauris sit amet lorem semper auctor. Mauris vel,"eu neque pellentesque massa lobortis ultrices. Vivamus rhoncus. Donec est. Nunc ullamcorper, velit in aliquet lobortis, nisi nibh lacinia orci, consectetuer euismod est",not_started,2,1,2/6/22 18:42,10/20/21 1:16,12/28/21 15:14,7086,183,253,471
20,435,Suspendisse ac,"a, auctor non, feugiat nec, diam. Duis mi enim, condimentum eget, volutpat ornare, facilisis eget, ipsum. Donec sollicitudin adipiscing ligula. Aenean gravida nunc sed pede. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",in_progress,1,2,1/4/22 11:07,2/14/22 7:19,1/5/22 3:48,6270,35,344,86
21,382,Nulla aliquet. Proin,"nisl sem, consequat nec, mollis vitae, posuere at, velit. Cras lorem lorem, luctus ut, pellentesque eget, dictum placerat, augue. Sed molestie. Sed id risus quis diam luctus lobortis. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per",in_progress,2,1,9/22/21 13:53,9/29/21 0:29,3/22/22 11:51,5752,436,407,430
22,362,Donec feugiat metus sit amet ante. Vivamus non,"varius et, euismod et, commodo at, libero. Morbi accumsan laoreet ipsum.",in_progress,1,2,12/4/21 8:57,1/23/22 1:45,11/23/21 8:06,2307,334,162,234
23,178,"bibendum sed, est. Nunc laoreet lectus quis massa. Mauris",nec mauris blandit,in_progress,1,1,1/24/22 12:41,12/27/21 21:35,3/30/22 15:44,5402,220,263,245
24,454,felis. Nulla,"ornare sagittis felis. Donec tempor, est ac mattis semper, dui lectus rutrum urna, nec luctus felis purus ac tellus. Suspendisse sed dolor. Fusce mi lorem, vehicula et, rutrum eu, ultrices sit amet, risus. Donec nibh enim, gravida",not_started,1,0,2/11/22 12:18,12/14/21 17:35,3/16/22 6:09,6529,284,179,473
25,192,,fringilla euismod enim. Etiam gravida molestie arcu. Sed eu nibh vulputate mauris sagittis placerat. Cras dictum ultricies ligula. Nullam enim. Sed,not_started,2,2,12/9/21 3:34,10/2/21 21:00,3/8/22 4:25,375,428,319,403
26,249,"auctor non,","Fusce mollis. Duis sit amet diam eu dolor egestas rhoncus. Proin nisl sem, consequat nec, mollis vitae,",completed,0,0,1/13/22 8:22,2/11/22 21:11,10/14/21 10:29,3551,453,47,269
27,19,vitae velit egestas lacinia.,"et, commodo at, libero. Morbi accumsan laoreet ipsum. Curabitur consequat, lectus sit amet luctus vulputate, nisi sem semper erat, in consectetuer ipsum nunc id enim. Curabitur",in_progress,0,0,9/23/21 2:56,11/29/21 18:03,11/25/21 7:24,6149,152,408,357
28,44,"pharetra, felis eget varius ultrices, mauris","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Aenean eget magna. Suspendisse tristique neque venenatis lacus. Etiam bibendum fermentum metus. Aenean sed pede nec ante blandit viverra. Donec tempus, lorem fringilla ornare placerat, orci lacus vestibulum lorem, sit amet ultricies sem magna nec",in_progress,2,2,2/22/22 21:19,11/7/21 22:04,3/9/22 23:38,3557,90,90,18
29,375,cursus vestibulum. Mauris magna.,"Nulla facilisis. Suspendisse commodo tincidunt nibh. Phasellus nulla. Integer vulputate, risus a ultricies adipiscing, enim mi tempor lorem, eget mollis lectus pede et risus. Quisque libero lacus, varius et, euismod et, commodo at, libero. Morbi accumsan",in_progress,2,2,1/22/22 12:32,1/16/22 7:57,2/7/22 23:08,6682,158,32,152
30,420,sapien imperdiet ornare. In,"Nullam lobortis quam a felis ullamcorper viverra. Maecenas iaculis aliquet diam. Sed diam lorem, auctor quis, tristique ac, eleifend vitae, erat. Vivamus nisi. Mauris nulla. Integer urna. Vivamus molestie dapibus ligula. Aliquam erat volutpat. Nulla dignissim. Maecenas ornare egestas",in_progress,3,3,2/14/22 22:18,1/6/22 7:49,12/3/21 9:58,5785,99,485,449
31,216,ut quam,"consequat auctor, nunc",in_progress,2,2,12/11/21 17:43,12/22/21 16:16,1/29/22 1:40,5840,276,178,28
32,151,dolor egestas rhoncus.,"adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien, gravida non, sollicitudin a, malesuada id, erat. Etiam vestibulum massa rutrum magna. Cras convallis convallis dolor. Quisque tincidunt pede ac urna. Ut",completed,2,2,11/7/21 18:49,11/30/21 14:48,12/28/21 13:48,934,183,147,366
33,472,sit amet massa. Quisque porttitor eros nec tellus. Nunc,"Donec sollicitudin adipiscing ligula. Aenean gravida nunc sed pede. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Proin vel arcu eu odio tristique pharetra. Quisque ac libero nec ligula consectetuer rhoncus. Nullam velit dui, semper et, lacinia vitae, sodales at, velit. Pellentesque ultricies dignissim",completed,2,0,9/26/21 16:37,2/11/22 10:01,3/23/22 16:14,3892,115,468,321
34,154,vulputate mauris sagittis placerat. Cras,"tempus eu, ligula. Aenean euismod mauris eu elit. Nulla facilisi. Sed neque. Sed eget lacus. Mauris non dui nec urna suscipit nonummy. Fusce fermentum fermentum",completed,3,2,9/19/21 14:39,1/28/22 18:03,12/28/21 2:20,2906,425,441,173
35,184,velit eget,"amet, dapibus id, blandit at, nisi. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Proin vel nisl. Quisque fringilla euismod enim. Etiam gravida molestie arcu. Sed eu nibh vulputate mauris sagittis placerat. Cras dictum ultricies ligula. Nullam enim. Sed nulla",in_progress,2,1,10/9/21 3:33,2/12/22 19:22,3/31/22 4:41,7999,175,144,292
36,481,felis purus ac tellus. Suspendisse,"placerat, augue. Sed molestie. Sed id risus quis diam luctus lobortis. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos hymenaeos. Mauris ut quam vel sapien imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt",in_progress,1,1,1/17/22 0:47,2/22/22 1:11,3/28/22 11:27,2423,36,58,50
37,354,ac nulla. In tincidunt congue turpis. In,"vitae, posuere at, velit. Cras lorem lorem, luctus ut, pellentesque",in_progress,1,0,10/27/21 10:55,11/29/21 9:07,1/21/22 10:39,6842,96,374,344
38,272,"suscipit, est ac facilisis facilisis, magna tellus faucibus leo,","lacinia. Sed congue, elit sed consequat auctor, nunc nulla vulputate dui, nec tempus mauris erat eget ipsum. Suspendisse sagittis. Nullam vitae diam. Proin dolor. Nulla semper tellus id nunc interdum feugiat. Sed nec metus facilisis lorem tristique aliquet. Phasellus fermentum convallis ligula. Donec luctus aliquet odio. Etiam",in_progress,2,2,9/10/21 17:27,1/4/22 13:07,3/23/22 0:36,7825,224,305,282
39,419,Etiam imperdiet dictum,"eget, ipsum. Donec sollicitudin adipiscing ligula.",not_started,2,2,10/22/21 2:00,12/24/21 22:14,3/12/22 6:49,7248,49,155,169
40,159,Curabitur dictum. Phasellus,"quis, pede. Praesent eu dui. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Aenean eget magna. Suspendisse tristique neque venenatis lacus. Etiam bibendum fermentum metus. Aenean sed pede nec ante blandit viverra. Donec tempus, lorem fringilla ornare placerat, orci lacus",not_started,2,1,1/26/22 17:45,1/10/22 7:38,1/12/22 15:08,6849,482,454,394
41,53,"eget, venenatis a, magna. Lorem ipsum dolor sit amet,","in molestie tortor nibh sit amet orci. Ut sagittis lobortis mauris. Suspendisse aliquet molestie tellus. Aenean egestas hendrerit neque. In ornare sagittis felis. Donec tempor, est ac mattis",in_progress,2,3,1/23/22 5:23,2/4/22 8:18,1/15/22 12:14,1002,394,115,157
42,241,"amet, consectetuer adipiscing elit.","lobortis augue scelerisque mollis. Phasellus libero mauris, aliquam eu, accumsan sed, facilisis vitae, orci. Phasellus dapibus quam quis diam. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Fusce",not_started,2,3,2/5/22 3:13,12/28/21 23:45,12/15/21 12:43,7777,472,367,432
43,125,,"in,",in_progress,3,1,10/17/21 12:47,2/1/22 7:40,10/12/21 12:31,3226,362,461,469
44,74,aliquet.,"neque sed dictum eleifend, nunc risus",completed,2,2,12/6/21 2:45,10/3/21 4:14,11/19/21 16:36,4980,31,476,463
45,183,"orci lobortis augue scelerisque mollis. Phasellus libero mauris, aliquam","ornare lectus justo eu arcu. Morbi sit amet massa. Quisque porttitor eros nec tellus. Nunc lectus pede, ultrices a, auctor",not_started,2,2,9/19/21 7:10,10/16/21 21:30,10/24/21 4:48,7328,156,99,215
46,48,"auctor ullamcorper, nisl arcu iaculis enim,",Curabitur massa.,completed,2,3,10/28/21 20:37,12/30/21 7:23,1/11/22 10:19,3285,369,32,330
47,271,mattis. Cras,"sem. Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla tempor augue ac ipsum. Phasellus vitae mauris sit amet lorem semper auctor. Mauris vel turpis. Aliquam adipiscing lobortis risus. In mi pede, nonummy ut, molestie in, tempus",in_progress,1,2,1/29/22 1:12,11/12/21 11:49,1/11/22 1:27,6917,443,372,149
48,380,tristique aliquet. Phasellus,eros turpis non enim. Mauris quis turpis vitae purus gravida sagittis.,in_progress,1,1,11/17/21 18:18,9/8/21 14:04,1/24/22 12:29,5674,150,286,336
49,122,mauris. Morbi non sapien,orci luctus,in_progress,3,0,9/9/21 12:32,2/23/22 6:22,2/14/22 13:21,1678,370,417,489
50,261,"egestas a, scelerisque sed, sapien. Nunc","at pretium aliquet, metus urna convallis erat, eget tincidunt dui augue eu tellus. Phasellus elit pede, malesuada vel, venenatis vel, faucibus id, libero. Donec consectetuer mauris id sapien. Cras dolor dolor, tempus non, lacinia at, iaculis quis, pede.",completed,3,2,9/14/21 21:45,11/17/21 8:28,11/1/21 14:47,3522,428,46,345
51,307,vestibulum. Mauris magna.,"ac ipsum. Phasellus vitae mauris sit amet lorem semper auctor. Mauris vel turpis. Aliquam adipiscing lobortis risus. In mi pede, nonummy ut, molestie in, tempus eu, ligula. Aenean euismod mauris eu elit. Nulla facilisi. Sed neque. Sed eget lacus. Mauris non dui nec urna suscipit nonummy. Fusce fermentum fermentum arcu.",not_started,3,3,10/10/21 9:15,2/14/22 8:16,10/11/21 0:52,6979,190,467,44
52,241,neque,"dictum eu, eleifend nec, malesuada ut, sem. Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla tempor augue ac ipsum. Phasellus vitae mauris sit amet lorem semper auctor. Mauris vel turpis. Aliquam adipiscing lobortis risus.",not_started,1,2,1/28/22 21:48,10/17/21 14:03,10/25/21 19:56,5083,20,5,1
53,70,nunc,"elit erat vitae risus. Duis a mi fringilla mi lacinia mattis. Integer eu lacus. Quisque imperdiet, erat nonummy ultricies ornare, elit elit fermentum risus,",in_progress,3,1,2/7/22 9:53,2/21/22 0:51,11/3/21 21:08,7205,433,88,413
54,41,"ullamcorper. Duis cursus, diam at pretium aliquet, metus urna","dui lectus rutrum urna, nec luctus felis purus ac tellus. Suspendisse sed dolor.",in_progress,3,2,9/10/21 10:52,9/22/21 7:34,12/20/21 14:32,333,67,370,459
55,210,rutrum,ac turpis egestas. Fusce aliquet,in_progress,3,0,2/13/22 17:20,2/19/22 21:43,1/10/22 3:07,993,58,246,441
56,464,"conubia nostra, per inceptos hymenaeos. Mauris ut quam vel sapien","Quisque ornare tortor at risus. Nunc ac sem ut dolor dapibus gravida. Aliquam tincidunt, nunc ac mattis ornare, lectus ante dictum mi, ac mattis velit justo nec ante. Maecenas mi felis, adipiscing fringilla, porttitor vulputate, posuere vulputate, lacus. Cras interdum. Nunc",not_started,2,2,2/2/22 9:57,12/27/21 1:22,10/7/21 14:16,953,176,219,223
57,3,metus. Aliquam erat volutpat. Nulla,"mauris, aliquam eu, accumsan",in_progress,2,3,11/30/21 13:29,2/21/22 12:49,12/3/21 10:18,1565,437,494,24
58,423,porttitor,"ultrices. Duis volutpat nunc sit amet metus. Aliquam erat volutpat. Nulla facilisis. Suspendisse commodo tincidunt nibh. Phasellus nulla. Integer vulputate, risus a ultricies adipiscing, enim mi tempor lorem, eget mollis lectus",completed,1,0,11/27/21 2:33,11/20/21 0:35,10/31/21 23:56,4106,274,72,351
59,264,"Quisque libero lacus, varius et, euismod et, commodo at,",consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet,in_progress,1,0,10/1/21 13:48,10/18/21 14:23,12/1/21 8:21,3355,124,164,135
60,237,"lorem lorem, luctus ut, pellentesque eget, dictum","pede. Praesent eu dui. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Aenean eget magna. Suspendisse tristique neque venenatis lacus. Etiam bibendum fermentum metus. Aenean sed pede nec ante blandit viverra. Donec tempus, lorem fringilla ornare placerat, orci lacus",completed,2,2,2/28/22 17:04,2/25/22 17:51,11/7/21 21:23,6234,251,336,241
61,63,sem ut dolor,consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis,not_started,0,2,10/2/21 23:46,12/15/21 15:45,12/19/21 0:29,7149,145,169,485
62,109,dis parturient,"magna. Phasellus dolor elit, pellentesque a, facilisis non, bibendum sed, est. Nunc laoreet lectus quis massa. Mauris vestibulum, neque sed dictum eleifend, nunc risus varius orci, in consequat enim diam vel arcu. Curabitur ut odio vel est tempor bibendum. Donec",in_progress,1,3,1/10/22 22:01,11/9/21 13:09,11/11/21 3:49,4209,392,182,192
63,353,mauris sagittis placerat. Cras dictum,Proin eget odio. Aliquam vulputate ullamcorper magna. Sed eu eros. Nam consequat dolor vitae dolor. Donec fringilla. Donec,completed,1,0,12/9/21 8:24,11/6/21 9:42,3/21/22 1:12,3610,220,66,21
64,321,Nunc commodo auctor,"enim nec tempus scelerisque, lorem ipsum sodales purus, in molestie tortor nibh sit amet orci. Ut sagittis lobortis mauris. Suspendisse aliquet molestie tellus. Aenean egestas hendrerit neque. In ornare sagittis felis. Donec tempor, est ac mattis semper, dui lectus rutrum urna, nec luctus",completed,1,3,12/17/21 0:22,10/6/21 10:51,10/24/21 16:51,2107,391,124,112
65,352,"et, rutrum non, hendrerit","Fusce fermentum fermentum arcu. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae Phasellus ornare. Fusce mollis. Duis sit amet diam eu dolor egestas rhoncus. Proin nisl sem, consequat nec, mollis vitae, posuere at, velit.",completed,0,3,1/3/22 10:01,11/20/21 2:55,2/21/22 13:34,3146,354,117,46
66,134,"In ornare sagittis felis. Donec tempor,",nec metus facilisis lorem,completed,2,1,12/18/21 16:35,1/27/22 12:29,3/29/22 4:31,6071,357,492,232
67,385,sed,"bibendum fermentum metus. Aenean sed pede nec ante blandit viverra. Donec tempus, lorem fringilla",not_started,1,3,1/1/22 13:25,2/21/22 9:41,10/18/21 8:53,143,101,277,277
68,220,"mauris sapien, cursus in, hendrerit consectetuer, cursus et,",Aenean gravida nunc,not_started,1,2,1/4/22 23:19,1/29/22 13:31,1/17/22 15:16,6844,381,375,219
69,127,est.,"a ultricies adipiscing, enim mi tempor lorem, eget mollis lectus pede et risus. Quisque libero lacus, varius et, euismod et, commodo at, libero. Morbi accumsan laoreet ipsum. Curabitur consequat, lectus",in_progress,0,2,2/15/22 23:05,11/7/21 22:41,1/20/22 5:04,2954,161,236,68
70,482,Duis dignissim tempor,quis turpis,not_started,2,0,10/3/21 16:01,12/21/21 11:57,12/25/21 7:10,3319,224,145,384
71,328,mauris eu elit.,"Donec elementum,",completed,2,3,9/13/21 18:58,9/10/21 23:18,12/1/21 15:19,4518,494,312,51
72,298,"elementum, dui quis accumsan convallis, ante","interdum. Nunc sollicitudin commodo ipsum. Suspendisse non leo. Vivamus nibh dolor,",not_started,0,2,12/8/21 2:14,11/7/21 1:24,3/26/22 18:57,3112,238,421,292
73,97,metus.,mauris.,in_progress,0,0,1/5/22 19:25,2/26/22 22:12,1/12/22 22:55,6649,356,352,445
74,470,"dictum eleifend, nunc risus varius orci, in consequat",,completed,2,2,11/2/21 16:09,1/30/22 21:49,1/24/22 22:28,6430,287,419,46
75,275,"augue id ante dictum cursus. Nunc mauris elit,","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec dignissim magna a tortor. Nunc commodo auctor velit. Aliquam nisl. Nulla eu neque pellentesque massa lobortis ultrices. Vivamus rhoncus. Donec est. Nunc ullamcorper, velit in aliquet lobortis, nisi",not_started,0,0,1/3/22 1:19,12/23/21 23:38,11/9/21 16:46,3004,477,256,30
76,155,"ultricies adipiscing, enim mi tempor lorem,","tempor, est ac mattis semper, dui lectus rutrum urna, nec luctus felis purus ac tellus. Suspendisse sed dolor. Fusce mi lorem, vehicula et, rutrum eu, ultrices sit amet, risus. Donec nibh enim, gravida sit amet, dapibus id, blandit at, nisi. Cum sociis natoque penatibus et magnis dis parturient montes,",not_started,1,2,12/21/21 21:18,1/31/22 22:57,12/28/21 20:24,5342,371,62,42
77,272,luctus. Curabitur egestas,"mus. Proin vel nisl. Quisque fringilla euismod enim. Etiam gravida molestie arcu. Sed eu nibh vulputate mauris sagittis placerat. Cras dictum ultricies ligula. Nullam enim. Sed nulla ante, iaculis nec, eleifend non, dapibus rutrum, justo. Praesent luctus. Curabitur egestas nunc sed libero. Proin sed",completed,3,1,1/18/22 2:53,12/31/21 17:39,10/20/21 10:11,3873,432,176,416
78,91,orci,Mauris non dui nec urna suscipit nonummy. Fusce fermentum fermentum arcu. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae Phasellus ornare. Fusce,completed,0,3,2/11/22 14:26,1/1/22 6:51,1/9/22 22:46,2289,215,352,109
79,421,"consequat, lectus",ante blandit,in_progress,0,1,10/24/21 2:26,2/24/22 6:31,10/15/21 19:29,346,334,55,389
80,276,ultrices posuere cubilia Curae Donec tincidunt.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Proin vel nisl. Quisque fringilla euismod enim. Etiam gravida molestie arcu. Sed eu nibh vulputate mauris sagittis placerat. Cras dictum ultricies ligula. Nullam enim. Sed nulla ante, iaculis nec, eleifend non, dapibus rutrum, justo.",in_progress,0,0,10/23/21 1:58,11/10/21 15:40,1/22/22 23:12,2729,150,229,158
81,427,,"Duis volutpat nunc sit amet metus. Aliquam erat volutpat. Nulla facilisis. Suspendisse commodo tincidunt nibh. Phasellus nulla. Integer vulputate, risus a",not_started,2,1,9/29/21 10:30,1/21/22 13:01,2/12/22 2:57,5893,399,399,375
82,180,"per conubia nostra, per inceptos hymenaeos. Mauris ut","auctor quis, tristique ac, eleifend vitae, erat. Vivamus nisi. Mauris nulla. Integer urna. Vivamus molestie dapibus ligula. Aliquam erat volutpat. Nulla dignissim. Maecenas ornare egestas ligula. Nullam feugiat placerat velit. Quisque varius. Nam porttitor scelerisque neque. Nullam nisl. Maecenas malesuada fringilla est. Mauris eu turpis. Nulla aliquet.",not_started,0,3,10/20/21 7:20,2/19/22 1:37,3/19/22 5:03,5402,185,294,200
83,244,rutrum lorem ac risus. Morbi metus. Vivamus,"justo faucibus lectus, a",in_progress,1,2,11/28/21 3:47,2/20/22 0:45,10/24/21 11:07,7022,214,127,471
84,135,"Etiam laoreet, libero et tristique","hendrerit consectetuer, cursus et, magna. Praesent interdum ligula eu enim. Etiam imperdiet dictum magna. Ut tincidunt orci quis lectus. Nullam suscipit, est ac facilisis facilisis, magna tellus faucibus leo, in lobortis tellus justo sit amet",in_progress,3,1,2/25/22 2:02,1/9/22 9:47,10/4/21 12:31,1849,329,456,233
85,214,"dui, semper et, lacinia vitae, sodales at, velit. Pellentesque ultricies","Pellentesque ut ipsum ac mi eleifend egestas. Sed pharetra, felis eget varius ultrices, mauris ipsum",completed,2,1,2/24/22 15:58,9/24/21 21:47,2/17/22 14:11,2977,175,477,212
86,266,"posuere vulputate, lacus. Cras interdum.","Nunc sollicitudin commodo ipsum. Suspendisse non leo. Vivamus nibh dolor, nonummy ac, feugiat non, lobortis quis, pede. Suspendisse dui. Fusce diam nunc, ullamcorper eu, euismod ac, fermentum vel, mauris. Integer sem elit, pharetra ut,",in_progress,1,1,2/25/22 19:34,1/29/22 8:51,1/8/22 3:42,3011,241,317,334
87,278,"lectus quis massa. Mauris vestibulum, neque sed dictum",arcu vel quam dignissim pharetra. Nam ac nulla. In tincidunt congue turpis. In condimentum. Donec at arcu. Vestibulum ante ipsum primis in faucibus orci luctus et,in_progress,2,2,2/21/22 0:18,11/30/21 16:35,12/2/21 12:19,5789,220,225,124
88,211,sit amet,mus. Donec dignissim,completed,2,3,1/8/22 16:50,10/5/21 22:35,1/3/22 14:55,5442,425,100,330
89,53,"nec, imperdiet nec, leo. Morbi neque tellus, imperdiet non,","metus facilisis lorem tristique aliquet. Phasellus fermentum convallis ligula. Donec luctus aliquet odio. Etiam ligula tortor, dictum eu, placerat eget, venenatis a, magna. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Etiam laoreet, libero et tristique pellentesque, tellus sem mollis dui, in sodales elit erat vitae risus. Duis",not_started,3,2,1/11/22 15:16,1/25/22 0:28,11/6/21 4:03,2221,292,90,230
90,141,rhoncus. Donec est. Nunc,"nec, euismod in, dolor. Fusce feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aliquam auctor, velit",not_started,1,3,9/13/21 17:00,12/29/21 6:41,11/13/21 8:05,3130,498,80,144
91,86,"sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer","placerat, orci lacus vestibulum",in_progress,2,2,11/27/21 18:41,12/18/21 5:49,10/6/21 19:21,1347,55,247,24
92,124,"nisl sem, consequat nec,","ante dictum cursus. Nunc mauris elit, dictum eu, eleifend",completed,1,0,1/21/22 1:54,11/8/21 5:15,11/22/21 1:30,74,62,117,494
93,91,dignissim magna a,"in, dolor. Fusce feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aliquam auctor, velit eget laoreet posuere, enim nisl",completed,1,2,10/29/21 7:58,12/15/21 17:41,11/22/21 18:09,6570,372,250,155
